gid,v1,v2,v3,v4,v5,v6,v7,v,v9,v10
1,0,-1,1,2,-1,0,0,2,2,2
1,2,1,-1,1,1,1,1,2,-2,-1
1,2,1,0,-1,-2,1,-1,-1,0,0
1,0,0,1,-1,0,0,1,2,0,0
1,-1,-1,0,0,0,0,0,0,0,1
1,0,1,2,-1,-1,1,0,0,0,1
1,0,1,1,-1,0,1,-1,-2,-1,-1
1,1,-1,-1,0,0,-1,-1,-1,-1,-1
1,-2,-1,-1,1,-1,2,1,0,-2,0
1,1,0,1,0,1,0,0,1,0,-2
1,0,0,-1,3,0,2,1,0,0,1
1,2,1,2,-1,2,1,1,2,-2,0
1,0,0,0,-1,0,-1,0,-1,-1,-1
1,1,1,-1,1,2,2,1,2,1,-1
1,0,0,1,1,-2,-1,2,2,0,1
1,0,-1,-1,0,2,0,0,-1,0,-1
1,0,0,1,0,-2,-1,1,-1,-1,0
1,-1,0,1,1,0,1,1,0,1,0
1,1,0,0,1,0,-2,1,0,0,0
1,0,-1,-1,0,0,2,1,1,-1,0
1,0,-1,1,1,0,0,0,0,0,0
1,2,0,1,0,-1,-1,0,-2,-1,-2
1,0,-1,0,0,0,-1,0,0,0,-2
1,-1,1,-1,-1,0,1,-1,0,0,2
1,-1,1,0,0,-1,0,0,1,0,2
1,0,-1,-1,-1,0,-1,1,-2,0,-1
1,0,-2,1,-1,-1,0,2,-2,0,-1
1,1,0,-1,0,0,0,-1,-1,1,-1
1,1,2,0,-1,0,-1,-1,1,2,0
1,-1,0,1,2,1,3,0,-2,-1,2
1,-1,2,1,0,1,0,0,0,-1,-1
1,2,0,1,-1,-1,0,0,-1,1,0
1,0,1,0,1,0,-1,1,0,1,-1
1,0,-2,-1,-1,0,0,1,0,-2,-1
1,0,0,-1,1,-1,0,-1,0,0,0
1,-1,0,0,0,-2,-1,0,0,-1,0
1,0,0,0,0,1,0,0,0,-1,1
1,1,1,-1,0,-1,0,-1,0,2,1
1,-1,-1,1,1,-1,0,2,1,1,-1
1,-1,-1,0,-1,-1,0,-1,0,1,-1
1,-1,1,-1,-1,0,1,-2,2,1,0
1,-1,0,0,0,-1,0,0,0,0,-1
1,0,0,-1,-1,-1,0,1,0,1,0
1,-1,0,0,1,3,1,1,0,2,-1
1,0,0,1,0,0,-1,1,0,1,1
1,-1,2,0,1,1,0,0,1,-1,0
1,0,0,2,-1,0,0,1,0,1,1
1,-1,0,0,0,1,-1,0,0,-1,-1
1,-1,-2,0,1,2,-1,-2,1,1,0
