t,k,rc.auc
10,3,0.319645140664962
10,4,0.702493606138107
10,6,0.671403452685422
10,7,0.347794117647059
10,9,0.66502557544757
100,3,0.319677109974425
100,4,0.696787084398977
100,5,0.69769820971867
100,8,0.663027493606138
100,9,0.645332480818414
2,3,0.322666240409207
2,4,0.319613171355499
2,5,0.318222506393862
2,6,0.541016624040921
2,7,0.631633631713555
2,8,0.566959718670077
2,9,0.591943734015345
20,6,0.668414322250639
20,8,0.326614450127877
20,9,0.671851023017903
3,3,0.322026854219949
3,4,0.696099744245524
3,5,0.70613810741688
3,6,0.645796035805627
3,7,0.647458439897698
3,8,0.662547953964194
3,9,0.560869565217391
5,3,0.318350383631714
5,4,0.71227621483376
5,5,0.718030690537084
5,6,0.333280051150895
5,9,0.715505115089514
50,3,0.322394501278772
50,4,0.708216112531969
50,5,0.706106138107417
